Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF/50V","R_1206_3216Metric",5.9436,17.0688,90.0000,bottom
"C2","10uF/50V","R_1206_3216Metric",9.6520,11.8588,-90.0000,bottom
"C3","10uF","SMD-0805",11.0490,2.9425,-90.0000,bottom
"C4","100nF","SMD-0805",14.0970,28.0250,180.0000,bottom
"C5","100nF","SMD-0805",8.7630,2.9425,-90.0000,bottom
"C6","10uF/50V","R_1206_3216Metric",8.8108,20.6756,180.0000,bottom
"C7","10uF/50V","R_1206_3216Metric",7.1120,11.9096,-90.0000,bottom
"C8","10uF/50V","R_1206_3216Metric",4.5720,11.9096,-90.0000,bottom
"C9","10uF/50V","R_1206_3216Metric",2.0320,11.9096,-90.0000,bottom
"C10","10uF/50V","R_1206_3216Metric",12.1920,11.8648,-90.0000,bottom
"C11","10uF/50V","R_1206_3216Metric",8.4836,17.0688,90.0000,bottom
"C12","100nF/50V","SMD-0805",10.8204,16.3703,90.0000,bottom
"C13","1uF","SMD-0805",2.3368,6.4135,-90.0000,bottom
"C14","22nF","SMD-0805",22.8600,16.7005,90.0000,bottom
"C15","100nF","SMD-0805",14.5288,10.1219,-90.0000,bottom
"C16","1uF","SMD-0805",29.4640,10.1270,90.0000,bottom
"C17","100uF/6V3","R_1206_3216Metric",32.1310,8.5940,90.0000,bottom
"C18","100uF/6V3","R_1206_3216Metric",32.1310,3.4565,-90.0000,bottom
"C19","?","SMD-0805",29.2735,28.1520,0.0000,bottom
"D1","LED GREEN","LED_1206",11.4378,6.6040,180.0000,bottom
"D2","BZX585-B5V6.115","D_SOD-523",6.4770,2.8790,-90.0000,bottom
"D3","PDS760-13","D_PowerDI-5",26.1620,15.7060,90.0000,bottom
"D4","BZX585-B5V6.115","D_SOD-523",34.4170,13.0160,-90.0000,bottom
"J1","213226-0611","Molex_CLIK-Mate_505405-0670_1x06-1MP_P1.50mm_Vertical",40.3860,8.2550,90.0000,bottom
"J2","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",42.1640,23.1140,-90.0000,bottom
"L1","HCI1050-5R5","L_Wuerth_HCI-1050",21.8440,6.1780,0.0000,bottom
"R1","180R","SMD-0805",13.5890,2.9425,90.0000,bottom
"R2","59kR","SMD-0805",17.4244,19.6215,90.0000,bottom
"R3","13k7","SMD-0805",30.0990,13.9065,-90.0000,bottom
"R4","1k5","SMD-0805",32.2580,13.1445,-90.0000,bottom
"R5","R","SMD-0805",29.4640,6.1900,-90.0000,bottom
"R6","R","SMD-0805",29.4640,2.6340,-90.0000,bottom
"R7","?","SMD-0805",25.4000,28.1520,0.0000,bottom
"U1","ACS781LLRTR-050U-T","Allegro_PSOF-7_4.8x6.4mm_P1.60mm",19.6850,25.4850,-90.0000,bottom
"U2","MIC5504-3.3YM5","SOT-23-5",5.6564,6.4516,180.0000,bottom
"U3","LMR14050","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias",17.5910,14.8590,0.0000,bottom
